j1,j2,x,y,z,rx,ry,rz
-90,-70,-85.5,-443.3,307.7,-159.99,0.0,179.99
-90,-40,-85.5,-335.0,516.2,-129.99,0.0,179.99
-90,-10,-85.5,-137.0,642.7,-99.99,0.0,179.99
-90,20,-85.4,97.7,653.3,-70.0,0.0,179.99
-90,50,-85.4,306.2,545.0,-39.99,0.0,179.99
-60,-70,147.6,-426.6,307.7,-159.99,0.0,-150.0
-60,-40,93.4,-332.9,516.2,-130.0,0.0,-150.0
-60,-10,-5.5,-161.4,642.7,-99.99,0.0,-150.0
-60,20,-122.9,41.8,653.3,-70.0,0.0,-150.0
-60,50,-227.1,222.4,545.0,-39.99,0.0,-150.0
-30,-70,341.1,-295.7,307.7,-159.99,0.0,-120.0
-30,-40,247.4,-241.5,516.2,-129.99,0.0,-120.0
-30,-10,75.9,-142.5,642.7,-99.99,0.0,-120.0
-30,20,-127.3,-25.1,653.3,-70.0,0.0,-120.0
-30,50,-307.9,79.0,545.0,-39.99,0.0,-120.0
0,-70,443.3,-85.5,307.7,-159.99,0.0,-89.99
0,-40,335.0,-85.5,516.2,-129.99,0.0,-90.0
0,-10,137.0,-85.5,642.7,-99.99,0.0,-90.0
0,20,-97.7,-85.4,653.3,-70.0,0.0,-90.0
0,50,-306.2,-85.4,545.0,-40.0,0.0,-90.0
30,-70,426.6,147.6,307.7,-159.99,0.0,-59.99
30,-40,332.9,93.4,516.2,-130.0,0.0,-60.0
30,-10,161.4,-5.5,642.7,-99.99,0.0,-59.99
30,20,-41.8,-122.9,653.3,-70.0,0.0,-59.99
30,50,-222.4,-227.1,545.0,-39.99,0.0,-60.0
60,-70,295.7,341.1,307.7,-159.99,0.0,-30.0
60,-40,241.5,247.4,516.2,-129.99,0.0,-30.0
60,-10,142.5,75.9,642.7,-99.99,0.0,-30.0
60,20,25.1,-127.3,653.3,-70.0,0.0,-30.0
60,50,-79.0,-307.9,545.0,-39.99,0.0,-30.0
90,-70,85.5,443.3,307.7,-159.99,0.0,0.0
90,-40,85.5,335.0,516.2,-129.99,0.0,0.0
90,-10,85.5,137.0,642.7,-99.99,0.0,0.0
90,20,85.4,-97.7,653.3,-70.0,0.0,0.0
90,50,85.4,-306.2,545.0,-40.0,0.0,0.0
